CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
SVM_RBF[5.0];Combinatorial[0];Phone;47;0;0;977;1.000;1.000;1.000
SVM_Poly[3,2.0,0.5];Combinatorial[0];Phone;47;0;0;977;1.000;1.000;1.000
RandomForest;Combinatorial[0];Phone;47;0;0;977;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];Phone;47;0;0;977;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];Phone;47;0;0;977;1.000;1.000;1.000
REPTree;Combinatorial[0];Phone;46;0;1;977;1.000;0.979;0.989
LogisticModelTree;Combinatorial[0];Phone;47;0;0;977;1.000;1.000;1.000
MultilayerPerceptron[a];Combinatorial[0];Phone;46;0;1;977;1.000;0.979;0.989
J48;Combinatorial[0];Phone;46;0;1;977;1.000;0.979;0.989
NaiveBayesUpdateable;Combinatorial[0];Phone;12;0;35;977;1.000;0.255;0.407
HoeffdingTree;Combinatorial[0];Phone;0;0;47;977;NaN;0.000;NaN
StochasticGradientDescend;Combinatorial[0];Phone;0;0;47;977;NaN;0.000;NaN
SVM_RBF[5.0];Combinatorial[0];VOD feature model;33;0;0;2015;1.000;1.000;1.000
SVM_Poly[3,2.0,0.5];Combinatorial[0];VOD feature model;33;0;0;2015;1.000;1.000;1.000
RandomForest;Combinatorial[0];VOD feature model;33;0;0;2015;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];VOD feature model;33;0;0;2015;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];VOD feature model;33;0;0;2015;1.000;1.000;1.000
REPTree;Combinatorial[0];VOD feature model;32;0;1;2015;1.000;0.970;0.985
LogisticModelTree;Combinatorial[0];VOD feature model;32;0;1;2015;1.000;0.970;0.985
MultilayerPerceptron[a];Combinatorial[0];VOD feature model;32;0;1;2015;1.000;0.970;0.985
J48;Combinatorial[0];VOD feature model;32;0;1;2015;1.000;0.970;0.985
NaiveBayesUpdateable;Combinatorial[0];VOD feature model;0;0;33;2015;NaN;0.000;NaN
HoeffdingTree;Combinatorial[0];VOD feature model;0;0;33;2015;NaN;0.000;NaN
StochasticGradientDescend;Combinatorial[0];VOD feature model;0;0;33;2015;NaN;0.000;NaN
SVM_RBF[5.0];Combinatorial[0];Disenio;10;0;0;2038;1.000;1.000;1.000
SVM_Poly[3,2.0,0.5];Combinatorial[0];Disenio;10;0;0;2038;1.000;1.000;1.000
RandomForest;Combinatorial[0];Disenio;10;0;0;2038;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];Disenio;10;0;0;2038;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];Disenio;6;0;4;2038;1.000;0.600;0.750
REPTree;Combinatorial[0];Disenio;0;0;10;2038;NaN;0.000;NaN
LogisticModelTree;Combinatorial[0];Disenio;6;0;4;2038;1.000;0.600;0.750
MultilayerPerceptron[a];Combinatorial[0];Disenio;6;0;4;2038;1.000;0.600;0.750
J48;Combinatorial[0];Disenio;0;0;10;2038;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];Disenio;0;0;10;2038;NaN;0.000;NaN
HoeffdingTree;Combinatorial[0];Disenio;0;0;10;2038;NaN;0.000;NaN
StochasticGradientDescend;Combinatorial[0];Disenio;0;0;10;2038;NaN;0.000;NaN
SVM_RBF[5.0];Combinatorial[0];anlisis II;58;0;0;1990;1.000;1.000;1.000
SVM_Poly[3,2.0,0.5];Combinatorial[0];anlisis II;58;0;0;1990;1.000;1.000;1.000
RandomForest;Combinatorial[0];anlisis II;58;0;0;1990;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];anlisis II;58;0;0;1990;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];anlisis II;58;0;0;1990;1.000;1.000;1.000
REPTree;Combinatorial[0];anlisis II;56;0;2;1990;1.000;0.966;0.982
LogisticModelTree;Combinatorial[0];anlisis II;58;0;0;1990;1.000;1.000;1.000
MultilayerPerceptron[a];Combinatorial[0];anlisis II;56;0;2;1990;1.000;0.966;0.982
J48;Combinatorial[0];anlisis II;56;0;2;1990;1.000;0.966;0.982
NaiveBayesUpdateable;Combinatorial[0];anlisis II;2;0;56;1990;1.000;0.034;0.067
HoeffdingTree;Combinatorial[0];anlisis II;0;0;58;1990;NaN;0.000;NaN
StochasticGradientDescend;Combinatorial[0];anlisis II;0;0;58;1990;NaN;0.000;NaN
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_Poly[3,2.0,0.5];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_Poly[3,2.0,0.5];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_Poly[3,2.0,0.5];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_Poly[3,2.0,0.5];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_Poly[3,2.0,0.5];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_Poly[3,2.0,0.5];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_Poly[3,2.0,0.5];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_Poly[3,2.0,0.5];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
