CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
NaiveBayesUpdateable;Combinatorial[0];CIMS PL;0;0;2;1022;NaN;0.000;NaN
HoeffdingTree;Combinatorial[0];CIMS PL;0;0;2;1022;NaN;0.000;NaN
IBk;Combinatorial[0];CIMS PL;2;0;0;1022;1.000;1.000;1.000
KStar;Combinatorial[0];CIMS PL;0;0;2;1022;NaN;0.000;NaN
StochasticGradientDescend;Combinatorial[0];CIMS PL;0;0;2;1022;NaN;0.000;NaN
LWL;Combinatorial[0];CIMS PL;0;0;2;1022;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];Phone;12;0;35;977;1.000;0.255;0.407
HoeffdingTree;Combinatorial[0];Phone;0;0;47;977;NaN;0.000;NaN
IBk;Combinatorial[0];Phone;47;0;0;977;1.000;1.000;1.000
KStar;Combinatorial[0];Phone;46;0;1;977;1.000;0.979;0.989
StochasticGradientDescend;Combinatorial[0];Phone;0;0;47;977;NaN;0.000;NaN
LWL;Combinatorial[0];Phone;46;0;1;977;1.000;0.979;0.989
NaiveBayesUpdateable;Combinatorial[0];rtrt;4;0;16;1004;1.000;0.200;0.333
HoeffdingTree;Combinatorial[0];rtrt;4;0;16;1004;1.000;0.200;0.333
IBk;Combinatorial[0];rtrt;20;0;0;1004;1.000;1.000;1.000
KStar;Combinatorial[0];rtrt;20;0;0;1004;1.000;1.000;1.000
StochasticGradientDescend;Combinatorial[0];rtrt;0;0;20;1004;NaN;0.000;NaN
LWL;Combinatorial[0];rtrt;20;0;0;1004;1.000;1.000;1.000
NaiveBayesUpdateable;Combinatorial[0];FeatureModel1;0;0;17;1007;NaN;0.000;NaN
HoeffdingTree;Combinatorial[0];FeatureModel1;0;0;17;1007;NaN;0.000;NaN
IBk;Combinatorial[0];FeatureModel1;17;0;0;1007;1.000;1.000;1.000
KStar;Combinatorial[0];FeatureModel1;16;0;1;1007;1.000;0.941;0.970
StochasticGradientDescend;Combinatorial[0];FeatureModel1;0;0;17;1007;NaN;0.000;NaN
LWL;Combinatorial[0];FeatureModel1;16;0;1;1007;1.000;0.941;0.970
NaiveBayesUpdateable;Combinatorial[0];Simnumero;0;0;9;1015;NaN;0.000;NaN
HoeffdingTree;Combinatorial[0];Simnumero;0;0;9;1015;NaN;0.000;NaN
IBk;Combinatorial[0];Simnumero;9;0;0;1015;1.000;1.000;1.000
KStar;Combinatorial[0];Simnumero;0;0;9;1015;NaN;0.000;NaN
StochasticGradientDescend;Combinatorial[0];Simnumero;0;0;9;1015;NaN;0.000;NaN
LWL;Combinatorial[0];Simnumero;0;0;9;1015;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];WebApp;128;0;33;863;1.000;0.795;0.886
HoeffdingTree;Combinatorial[0];WebApp;128;0;33;863;1.000;0.795;0.886
IBk;Combinatorial[0];WebApp;161;0;0;863;1.000;1.000;1.000
KStar;Combinatorial[0];WebApp;160;0;1;863;1.000;0.994;0.997
StochasticGradientDescend;Combinatorial[0];WebApp;43;1;118;862;0.977;0.267;0.420
LWL;Combinatorial[0];WebApp;160;0;1;863;1.000;0.994;0.997
NaiveBayesUpdateable;Combinatorial[0];AA;0;0;17;1007;NaN;0.000;NaN
HoeffdingTree;Combinatorial[0];AA;0;0;17;1007;NaN;0.000;NaN
IBk;Combinatorial[0];AA;17;0;0;1007;1.000;1.000;1.000
KStar;Combinatorial[0];AA;12;0;5;1007;1.000;0.706;0.828
StochasticGradientDescend;Combinatorial[0];AA;0;0;17;1007;NaN;0.000;NaN
LWL;Combinatorial[0];AA;12;0;5;1007;1.000;0.706;0.828
NaiveBayesUpdateable;Combinatorial[0];Prontuário Eletrônico de Pacientes;0;0;11;1013;NaN;0.000;NaN
HoeffdingTree;Combinatorial[0];Prontuário Eletrônico de Pacientes;0;0;11;1013;NaN;0.000;NaN
IBk;Combinatorial[0];Prontuário Eletrônico de Pacientes;11;0;0;1013;1.000;1.000;1.000
KStar;Combinatorial[0];Prontuário Eletrônico de Pacientes;8;0;3;1013;1.000;0.727;0.842
StochasticGradientDescend;Combinatorial[0];Prontuário Eletrônico de Pacientes;0;0;11;1013;NaN;0.000;NaN
LWL;Combinatorial[0];Prontuário Eletrônico de Pacientes;8;0;3;1013;1.000;0.727;0.842
NaiveBayesUpdateable;Combinatorial[0];test gv;6;0;27;991;1.000;0.182;0.308
HoeffdingTree;Combinatorial[0];test gv;0;0;33;991;NaN;0.000;NaN
IBk;Combinatorial[0];test gv;33;0;0;991;1.000;1.000;1.000
KStar;Combinatorial[0];test gv;32;0;1;991;1.000;0.970;0.985
StochasticGradientDescend;Combinatorial[0];test gv;0;0;33;991;NaN;0.000;NaN
LWL;Combinatorial[0];test gv;32;0;1;991;1.000;0.970;0.985
NaiveBayesUpdateable;Combinatorial[0];Computer Selection;0;0;3;1021;NaN;0.000;NaN
HoeffdingTree;Combinatorial[0];Computer Selection;0;0;3;1021;NaN;0.000;NaN
IBk;Combinatorial[0];Computer Selection;3;0;0;1021;1.000;1.000;1.000
KStar;Combinatorial[0];Computer Selection;0;0;3;1021;NaN;0.000;NaN
StochasticGradientDescend;Combinatorial[0];Computer Selection;0;0;3;1021;NaN;0.000;NaN
LWL;Combinatorial[0];Computer Selection;0;0;3;1021;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];Mobile Game;150;10;122;1766;0.938;0.551;0.694
HoeffdingTree;Combinatorial[0];Mobile Game;150;10;122;1766;0.938;0.551;0.694
IBk;Combinatorial[0];Mobile Game;272;0;0;1776;1.000;1.000;1.000
KStar;Combinatorial[0];Mobile Game;270;0;2;1776;1.000;0.993;0.996
StochasticGradientDescend;Combinatorial[0];Mobile Game;53;4;219;1772;0.930;0.195;0.322
LWL;Combinatorial[0];Mobile Game;270;0;2;1776;1.000;0.993;0.996
NaiveBayesUpdateable;Combinatorial[0];VOD feature model;0;0;33;2015;NaN;0.000;NaN
HoeffdingTree;Combinatorial[0];VOD feature model;0;0;33;2015;NaN;0.000;NaN
IBk;Combinatorial[0];VOD feature model;33;0;0;2015;1.000;1.000;1.000
KStar;Combinatorial[0];VOD feature model;32;0;1;2015;1.000;0.970;0.985
StochasticGradientDescend;Combinatorial[0];VOD feature model;0;0;33;2015;NaN;0.000;NaN
LWL;Combinatorial[0];VOD feature model;32;0;1;2015;1.000;0.970;0.985
NaiveBayesUpdateable;Combinatorial[0];VODPlayer;0;30;98;1920;0.000;0.000;NaN
HoeffdingTree;Combinatorial[0];VODPlayer;0;0;98;1950;NaN;0.000;NaN
IBk;Combinatorial[0];VODPlayer;98;0;0;1950;1.000;1.000;1.000
KStar;Combinatorial[0];VODPlayer;96;0;2;1950;1.000;0.980;0.990
StochasticGradientDescend;Combinatorial[0];VODPlayer;0;0;98;1950;NaN;0.000;NaN
LWL;Combinatorial[0];VODPlayer;96;0;2;1950;1.000;0.980;0.990
NaiveBayesUpdateable;Combinatorial[0];SmartHome_vConejero_r1;0;0;3;2045;NaN;0.000;NaN
HoeffdingTree;Combinatorial[0];SmartHome_vConejero_r1;0;0;3;2045;NaN;0.000;NaN
IBk;Combinatorial[0];SmartHome_vConejero_r1;3;0;0;2045;1.000;1.000;1.000
KStar;Combinatorial[0];SmartHome_vConejero_r1;0;0;3;2045;NaN;0.000;NaN
StochasticGradientDescend;Combinatorial[0];SmartHome_vConejero_r1;0;0;3;2045;NaN;0.000;NaN
LWL;Combinatorial[0];SmartHome_vConejero_r1;0;0;3;2045;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];MobileMedia;8;0;50;1990;1.000;0.138;0.242
HoeffdingTree;Combinatorial[0];MobileMedia;0;0;58;1990;NaN;0.000;NaN
IBk;Combinatorial[0];MobileMedia;58;0;0;1990;1.000;1.000;1.000
KStar;Combinatorial[0];MobileMedia;56;0;2;1990;1.000;0.966;0.982
StochasticGradientDescend;Combinatorial[0];MobileMedia;0;0;58;1990;NaN;0.000;NaN
LWL;Combinatorial[0];MobileMedia;56;0;2;1990;1.000;0.966;0.982
NaiveBayesUpdateable;Combinatorial[0];ordem;1;0;56;1991;1.000;0.018;0.034
HoeffdingTree;Combinatorial[0];ordem;0;0;57;1991;NaN;0.000;NaN
IBk;Combinatorial[0];ordem;57;0;0;1991;1.000;1.000;1.000
KStar;Combinatorial[0];ordem;49;0;8;1991;1.000;0.860;0.925
StochasticGradientDescend;Combinatorial[0];ordem;0;0;57;1991;NaN;0.000;NaN
LWL;Combinatorial[0];ordem;49;0;8;1991;1.000;0.860;0.925
NaiveBayesUpdateable;Combinatorial[0];desordem;1;0;56;1991;1.000;0.018;0.034
HoeffdingTree;Combinatorial[0];desordem;0;0;57;1991;NaN;0.000;NaN
IBk;Combinatorial[0];desordem;57;0;0;1991;1.000;1.000;1.000
KStar;Combinatorial[0];desordem;49;0;8;1991;1.000;0.860;0.925
StochasticGradientDescend;Combinatorial[0];desordem;0;0;57;1991;NaN;0.000;NaN
LWL;Combinatorial[0];desordem;49;0;8;1991;1.000;0.860;0.925
NaiveBayesUpdateable;Combinatorial[0];Mauricio Alférez;0;0;11;2037;NaN;0.000;NaN
