CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
MultilayerPerceptron[i,6];0.900;0.820;0.855;0.026;30;1.000;0.912;0.950;0.029;27
MultilayerPerceptron[a,4];0.900;0.820;0.855;0.026;30;1.000;0.912;0.950;0.029;27
MultilayerPerceptron[i];0.967;0.865;0.909;0.026;30;1.000;0.895;0.940;0.027;29
MultilayerPerceptron[i,o];0.900;0.820;0.855;0.026;30;1.000;0.912;0.950;0.029;27
MultilayerPerceptron[i,a];0.900;0.820;0.855;0.026;30;1.000;0.912;0.950;0.029;27
MultilayerPerceptron[a];0.967;0.865;0.909;0.026;30;1.000;0.895;0.940;0.027;29


VALIDITY RATIO;(F)
min;0.001465
avg;0.026058
max;0.157227

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.922;0.835;0.873;0.026;180;1.000;0.906;0.947;0.028;166

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Doorlopende reisverzekering;1.000;0.985;0.992;0.016;6;1.000;0.985;0.992;0.016;6
VOD feature model;1.000;0.970;0.985;0.016;6;1.000;0.970;0.985;0.016;6
Mauricio Alférez;1.000;0.909;0.952;0.005;6;1.000;0.909;0.952;0.005;6
test gv;1.000;0.970;0.985;0.032;6;1.000;0.970;0.985;0.032;6
SmartHome- Simplified Sample;1.000;0.909;0.952;0.005;6;1.000;0.909;0.952;0.005;6
SmartHome_vConejero_r1;0.333;0.222;0.267;0.001;6;1.000;0.667;0.800;0.001;2
MobileMedia;1.000;0.966;0.982;0.028;6;1.000;0.966;0.982;0.028;6
Phone;1.000;0.979;0.989;0.046;6;1.000;0.979;0.989;0.046;6
ordem;1.000;0.842;0.914;0.028;6;1.000;0.842;0.914;0.028;6
ETRobocon;1.000;0.992;0.996;0.059;6;1.000;0.992;0.996;0.059;6
AA;1.000;0.941;0.970;0.017;6;1.000;0.941;0.970;0.017;6
Prontuário Eletrônico de Pacientes;1.000;0.909;0.952;0.011;6;1.000;0.909;0.952;0.011;6
AvionFEatures;1.000;0.923;0.960;0.013;6;1.000;0.923;0.960;0.013;6
test_fm;1.000;0.889;0.941;0.002;6;1.000;0.889;0.941;0.002;6
CIMS PL;0.000;0.000;0.000;0.002;6;0.000;0.000;0.000;0.000;0
VODPlayer;1.000;0.980;0.990;0.048;6;1.000;0.980;0.990;0.048;6
isolation;1.000;0.750;0.857;0.004;6;1.000;0.750;0.857;0.004;6
Example Mobile Phone;1.000;0.933;0.966;0.015;6;1.000;0.933;0.966;0.015;6
E-portal;1.000;0.941;0.970;0.008;6;1.000;0.941;0.970;0.008;6
desordem;1.000;0.842;0.914;0.028;6;1.000;0.842;0.914;0.028;6
carpl;1.000;0.667;0.800;0.003;6;1.000;0.667;0.800;0.003;6
rtrt;1.000;1.000;1.000;0.020;6;1.000;1.000;1.000;0.020;6
Ökonomische Merkmale;1.000;0.960;0.980;0.024;6;1.000;0.960;0.980;0.024;6
Computer Selection;0.333;0.222;0.267;0.003;6;1.000;0.667;0.800;0.003;2
FeatureModel1;1.000;0.941;0.970;0.017;6;1.000;0.941;0.970;0.017;6
MyFM;1.000;0.950;0.974;0.020;6;1.000;0.950;0.974;0.020;6
Simnumero;1.000;0.556;0.714;0.009;6;1.000;0.556;0.714;0.009;6
Mobile Game;1.000;0.993;0.996;0.133;6;1.000;0.993;0.996;0.133;6
SAL;1.000;0.923;0.960;0.013;6;1.000;0.923;0.960;0.013;6
WebApp;1.000;0.994;0.997;0.157;6;1.000;0.994;0.997;0.157;6
