CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.477;0.370;0.417;0.014;12;0.955;0.741;0.834;0.026;6
SVM_RBF[5.0];0.500;0.185;0.270;0.014;12;1.000;0.370;0.541;0.026;6
KStar;0.500;0.278;0.357;0.014;12;1.000;0.556;0.714;0.026;6
SVM_Puk[1.0, 0.1];0.500;0.074;0.129;0.014;12;1.000;0.148;0.258;0.026;6
MultilayerPerceptron[a];0.705;0.778;0.668;0.014;12;0.705;0.778;0.668;0.014;12


VALIDITY RATIO;(F)
min;0.000977
avg;0.013672
max;0.026367

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.3];0.536;0.337;0.368;0.014;60;0.894;0.562;0.614;0.022;36

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
CIMS PL;0.094;0.200;0.128;0.001;30;0.472;1.000;0.639;0.001;6
Phone sple;0.978;0.474;0.609;0.026;30;0.978;0.474;0.609;0.026;30
