CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.455;0.370;0.408;0.014;12;0.909;0.741;0.816;0.026;6
SVM_RBF[5.0];0.500;0.185;0.270;0.014;12;1.000;0.370;0.541;0.026;6
KStar;0.500;0.278;0.357;0.014;12;1.000;0.556;0.714;0.026;6
SVM_Puk[1.0, 0.1];0.500;0.074;0.129;0.014;12;1.000;0.148;0.258;0.026;6
MultilayerPerceptron[a];0.661;0.778;0.620;0.014;12;0.661;0.778;0.620;0.014;12


VALIDITY RATIO;(F)
min;0.000977
avg;0.013672
max;0.026367

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.3];0.523;0.337;0.357;0.014;60;0.872;0.562;0.595;0.022;36

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
CIMS PL;0.075;0.200;0.108;0.001;30;0.375;1.000;0.539;0.001;6
Phone sple;0.971;0.474;0.606;0.026;30;0.971;0.474;0.606;0.026;30
