CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IBk;0.945;0.696;0.791;0.021;250;0.989;0.728;0.828;0.022;239
PART;0.786;0.767;0.766;0.021;250;0.865;0.845;0.844;0.023;227
NaiveBayesUpdateable;0.372;0.133;0.179;0.021;250;0.774;0.278;0.373;0.036;120
JRip;0.687;0.721;0.693;0.021;250;0.791;0.831;0.798;0.024;217


VALIDITY RATIO;(F)
min;0.000122
avg;0.021262
max;0.131836

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.6000000000000001];0.697;0.579;0.607;0.021;1000;0.868;0.722;0.756;0.025;803

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
CCCMS;0.992;0.952;0.970;0.059;20;0.992;0.952;0.970;0.059;20
Phone sple;0.644;0.548;0.581;0.026;20;0.859;0.731;0.774;0.026;15
UPL;0.680;0.583;0.621;0.009;20;0.907;0.778;0.827;0.009;15
SmartHome_vConejero_r1;0.313;0.375;0.293;0.001;20;0.694;0.833;0.652;0.001;9
Test;0.285;0.207;0.237;0.003;20;0.813;0.592;0.678;0.003;7
mon model;0.571;0.498;0.506;0.006;20;0.816;0.711;0.723;0.006;14
Veículo;0.631;0.586;0.594;0.010;20;0.664;0.616;0.625;0.010;19
CFDP Library;0.991;0.790;0.838;0.058;40;0.991;0.790;0.838;0.058;40
ordem;0.832;0.636;0.660;0.027;20;0.924;0.706;0.733;0.027;18
Text Editor;0.497;0.350;0.396;0.003;20;0.662;0.467;0.527;0.003;15
KIModel;0.593;0.504;0.525;0.001;20;0.912;0.776;0.807;0.001;13
test_fm;0.675;0.588;0.616;0.002;20;0.964;0.839;0.880;0.002;14
AvionFEatures;0.586;0.513;0.519;0.012;20;0.781;0.683;0.692;0.012;15
CIMS PL;0.000;0.000;0.000;0.001;20;0.000;0.000;0.000;0.000;0
VODPlayer;0.711;0.683;0.687;0.047;20;0.711;0.683;0.687;0.047;20
UML-IDE-TOOL;1.000;0.939;0.964;0.094;20;1.000;0.939;0.964;0.094;20
desordem;0.864;0.668;0.669;0.027;20;0.909;0.703;0.705;0.027;19
RE;1.000;0.791;0.849;0.012;20;1.000;0.791;0.849;0.012;20
Linha de produtos - SimulES e PnP;0.674;0.591;0.622;0.009;20;0.709;0.622;0.655;0.009;19
Car PL;0.620;0.509;0.550;0.005;20;0.827;0.679;0.733;0.005;15
MyFM;0.425;0.250;0.297;0.019;20;0.607;0.357;0.425;0.019;14
Aircraft PL;0.706;0.651;0.663;0.038;20;0.706;0.651;0.663;0.038;20
MyFeatureModel;0.613;0.570;0.573;0.017;20;0.817;0.760;0.764;0.017;15
Mobile Game;0.967;0.874;0.907;0.132;20;0.967;0.874;0.907;0.132;20
Mobile Phone, until relase 5;0.750;0.666;0.698;0.001;20;1.000;0.888;0.931;0.001;15
SAL;0.499;0.308;0.365;0.012;20;0.713;0.440;0.522;0.012;14
Doorlopende reisverzekering;1.000;0.828;0.884;0.016;20;1.000;0.828;0.884;0.016;20
WB2;0.789;0.686;0.700;0.049;20;0.789;0.686;0.700;0.049;20
VOD feature model;0.998;0.763;0.827;0.016;20;0.998;0.763;0.827;0.016;20
WB;0.914;0.766;0.795;0.039;20;0.914;0.766;0.795;0.039;20
FM1;0.150;0.150;0.150;0.000;20;1.000;1.000;1.000;0.000;3
Dummy Car;0.442;0.367;0.388;0.002;20;0.679;0.564;0.597;0.002;13
Asghar;0.692;0.606;0.602;0.016;20;0.814;0.713;0.708;0.016;17
Adams Car;0.560;0.370;0.431;0.007;20;0.746;0.493;0.575;0.007;15
Phone;0.953;0.721;0.779;0.045;20;0.953;0.721;0.779;0.045;20
Carro Model;0.497;0.337;0.388;0.002;20;0.765;0.518;0.598;0.002;13
MiniTV;0.988;0.858;0.904;0.015;20;0.988;0.858;0.904;0.015;20
IntelligentTutoringSystem;0.976;0.735;0.778;0.021;20;0.976;0.735;0.778;0.021;20
IDE4OCL;1.000;0.752;0.813;0.004;20;1.000;0.752;0.813;0.004;20
ETRobocon;0.983;0.932;0.954;0.059;20;0.983;0.932;0.954;0.059;20
Parking lot Manager;0.510;0.388;0.423;0.002;20;0.681;0.517;0.564;0.002;15
G10-music player;0.985;0.790;0.843;0.008;20;0.985;0.790;0.843;0.008;20
Tata Cars;0.554;0.429;0.477;0.003;20;0.739;0.572;0.636;0.003;15
E-portal;0.689;0.569;0.593;0.008;20;0.861;0.711;0.741;0.008;16
carpl;0.100;0.100;0.100;0.002;20;1.000;1.000;1.000;0.002;2
CTOS MODEL;0.589;0.503;0.524;0.001;20;0.785;0.670;0.698;0.001;15
Ökonomische Merkmale;0.835;0.631;0.653;0.023;20;0.835;0.631;0.653;0.023;20
ELPS - ISE;0.805;0.718;0.724;0.028;20;0.948;0.845;0.852;0.028;17
Eshop-ufrj;0.749;0.553;0.602;0.012;20;0.881;0.651;0.708;0.012;17
