CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
SVM_RBF[5.0];0.920;0.373;0.519;0.025;100;1.000;0.406;0.564;0.027;92
SVM_Puk[1.0, 0.1];0.970;0.442;0.592;0.025;100;1.000;0.456;0.610;0.026;97
Logistic;0.535;0.509;0.481;0.025;100;0.569;0.541;0.512;0.027;94


VALIDITY RATIO;(F)
min;0.000977
avg;0.025049
max;0.131836

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.4];0.808;0.441;0.531;0.025;300;0.857;0.468;0.563;0.026;283

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
AvionFEatures;0.818;0.461;0.545;0.012;15;0.818;0.461;0.545;0.012;15
CIMS PL;0.373;0.533;0.399;0.001;15;0.699;1.000;0.748;0.001;8
VODPlayer;0.880;0.497;0.599;0.047;15;0.880;0.497;0.599;0.047;15
VOD feature model;1.000;0.606;0.718;0.016;15;1.000;0.606;0.718;0.016;15
Phone sple;0.821;0.343;0.471;0.026;15;0.821;0.343;0.471;0.026;15
Asghar;0.861;0.406;0.533;0.016;15;0.861;0.406;0.533;0.016;15
desordem;0.891;0.345;0.495;0.027;15;0.891;0.345;0.495;0.027;15
E-portal;0.892;0.496;0.599;0.008;15;0.892;0.496;0.599;0.008;15
UPL;0.892;0.433;0.551;0.009;15;0.892;0.433;0.551;0.009;15
carpl;0.450;0.367;0.378;0.002;15;0.844;0.688;0.708;0.002;8
SmartHome_vConejero_r1;0.616;0.567;0.519;0.001;15;0.769;0.708;0.649;0.001;12
Test;0.731;0.381;0.480;0.003;15;0.731;0.381;0.480;0.003;15
Ökonomische Merkmale;0.914;0.506;0.609;0.023;15;0.914;0.506;0.609;0.023;15
Phone;0.933;0.535;0.650;0.045;15;0.933;0.535;0.650;0.045;15
MyFM;0.733;0.312;0.425;0.019;15;0.733;0.312;0.425;0.019;15
ordem;0.899;0.327;0.477;0.027;15;0.899;0.327;0.477;0.027;15
MyFeatureModel;0.775;0.301;0.421;0.017;15;0.775;0.301;0.421;0.017;15
Mobile Game;0.942;0.534;0.651;0.132;15;0.942;0.534;0.651;0.132;15
ETRobocon;0.989;0.588;0.698;0.059;15;0.989;0.588;0.698;0.059;15
SAL;0.758;0.289;0.395;0.012;15;0.758;0.289;0.395;0.012;15
