CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
JRip;Random[0.6];SAL;4;0;8;1012;1.000;0.333;0.500
JRip;Random[0.6];SAL;4;4;8;1008;0.500;0.333;0.400
JRip;Random[0.6];SAL;4;0;8;1012;1.000;0.333;0.500
JRip;Random[0.6];SAL;4;0;8;1012;1.000;0.333;0.500
JRip;Random[0.6];SAL;4;0;8;1012;1.000;0.333;0.500
JRip;Random[0.6];SAL;4;0;8;1012;1.000;0.333;0.500
JRip;Random[0.6];SAL;4;0;8;1012;1.000;0.333;0.500
JRip;Random[0.6];SAL;4;0;8;1012;1.000;0.333;0.500
JRip;Random[0.6];SAL;4;4;8;1008;0.500;0.333;0.400
JRip;Random[0.6];SAL;4;0;8;1012;1.000;0.333;0.500
JRip;Random[0.6];SAL;4;0;8;1012;1.000;0.333;0.500
PART;Random[0.6];SAL;8;0;4;1012;1.000;0.667;0.800
PART;Random[0.6];SAL;8;0;4;1012;1.000;0.667;0.800
PART;Random[0.6];SAL;8;0;4;1012;1.000;0.667;0.800
PART;Random[0.6];SAL;8;0;4;1012;1.000;0.667;0.800
PART;Random[0.6];SAL;8;0;4;1012;1.000;0.667;0.800
PART;Random[0.6];SAL;8;2;4;1010;0.800;0.667;0.727
PART;Random[0.6];SAL;8;0;4;1012;1.000;0.667;0.800
PART;Random[0.6];SAL;8;0;4;1012;1.000;0.667;0.800
PART;Random[0.6];SAL;8;0;4;1012;1.000;0.667;0.800
PART;Random[0.6];SAL;8;2;4;1010;0.800;0.667;0.727
PART;Random[0.6];SAL;8;2;4;1010;0.800;0.667;0.727
SVM_Poly[3,2.0,0.5];Random[0.6];SAL;9;0;3;1012;1.000;0.750;0.857
SVM_Poly[3,2.0,0.5];Random[0.6];SAL;9;0;3;1012;1.000;0.750;0.857
SVM_Poly[3,2.0,0.5];Random[0.6];SAL;9;0;3;1012;1.000;0.750;0.857
SVM_Poly[3,2.0,0.5];Random[0.6];SAL;9;1;3;1011;0.900;0.750;0.818
SVM_Poly[3,2.0,0.5];Random[0.6];SAL;9;0;3;1012;1.000;0.750;0.857
SVM_Poly[3,2.0,0.5];Random[0.6];SAL;9;0;3;1012;1.000;0.750;0.857
SVM_Poly[3,2.0,0.5];Random[0.6];SAL;9;0;3;1012;1.000;0.750;0.857
SVM_Poly[3,2.0,0.5];Random[0.6];SAL;9;1;3;1011;0.900;0.750;0.818
SVM_Poly[3,2.0,0.5];Random[0.6];SAL;9;0;3;1012;1.000;0.750;0.857
SVM_Poly[3,2.0,0.5];Random[0.6];SAL;9;0;3;1012;1.000;0.750;0.857
SVM_Poly[3,2.0,0.5];Random[0.6];SAL;9;0;3;1012;1.000;0.750;0.857
RandomForest;Random[0.6];SAL;8;0;4;1012;1.000;0.667;0.800
RandomForest;Random[0.6];SAL;8;0;4;1012;1.000;0.667;0.800
RandomForest;Random[0.6];SAL;8;0;4;1012;1.000;0.667;0.800
RandomForest;Random[0.6];SAL;8;0;4;1012;1.000;0.667;0.800
RandomForest;Random[0.6];SAL;8;0;4;1012;1.000;0.667;0.800
RandomForest;Random[0.6];SAL;8;0;4;1012;1.000;0.667;0.800
RandomForest;Random[0.6];SAL;8;1;4;1011;0.889;0.667;0.762
RandomForest;Random[0.6];SAL;8;1;4;1011;0.889;0.667;0.762
RandomForest;Random[0.6];SAL;8;0;4;1012;1.000;0.667;0.800
RandomForest;Random[0.6];SAL;8;0;4;1012;1.000;0.667;0.800
RandomForest;Random[0.6];SAL;8;0;4;1012;1.000;0.667;0.800
J48;Random[0.6];SAL;0;0;12;1012;NaN;0.000;NaN
J48;Random[0.6];SAL;0;0;12;1012;NaN;0.000;NaN
J48;Random[0.6];SAL;0;0;12;1012;NaN;0.000;NaN
J48;Random[0.6];SAL;0;0;12;1012;NaN;0.000;NaN
J48;Random[0.6];SAL;0;0;12;1012;NaN;0.000;NaN
J48;Random[0.6];SAL;0;0;12;1012;NaN;0.000;NaN
J48;Random[0.6];SAL;0;0;12;1012;NaN;0.000;NaN
J48;Random[0.6];SAL;0;0;12;1012;NaN;0.000;NaN
J48;Random[0.6];SAL;0;0;12;1012;NaN;0.000;NaN
J48;Random[0.6];SAL;0;0;12;1012;NaN;0.000;NaN
