CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
SVM_RBF[5.0];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_Poly[3,2.0,0.5];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
RandomForest;Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
REPTree;Combinatorial[0];XOR NEW;88;0;1;1959;1.000;0.989;0.994
LogisticModelTree;Combinatorial[0];XOR NEW;89;0;0;1959;1.000;1.000;1.000
MultilayerPerceptron[a];Combinatorial[0];XOR NEW;81;0;8;1959;1.000;0.910;0.953
J48;Combinatorial[0];XOR NEW;88;0;1;1959;1.000;0.989;0.994
NaiveBayesUpdateable;Combinatorial[0];XOR NEW;24;0;65;1959;1.000;0.270;0.425
HoeffdingTree;Combinatorial[0];XOR NEW;24;0;65;1959;1.000;0.270;0.425
StochasticGradientDescend;Combinatorial[0];XOR NEW;0;0;89;1959;NaN;0.000;NaN
SVM_RBF[5.0];Combinatorial[0];Sylvain Example;22;0;0;4074;1.000;1.000;1.000
SVM_Poly[3,2.0,0.5];Combinatorial[0];Sylvain Example;22;0;0;4074;1.000;1.000;1.000
RandomForest;Combinatorial[0];Sylvain Example;22;0;0;4074;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];Sylvain Example;22;0;0;4074;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];Sylvain Example;22;0;0;4074;1.000;1.000;1.000
REPTree;Combinatorial[0];Sylvain Example;14;6;8;4068;0.700;0.636;0.667
LogisticModelTree;Combinatorial[0];Sylvain Example;22;4;0;4070;0.846;1.000;0.917
MultilayerPerceptron[a];Combinatorial[0];Sylvain Example;20;0;2;4074;1.000;0.909;0.952
J48;Combinatorial[0];Sylvain Example;0;0;22;4074;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];Sylvain Example;0;0;22;4074;NaN;0.000;NaN
HoeffdingTree;Combinatorial[0];Sylvain Example;2;2046;20;2028;0.001;0.091;0.002
StochasticGradientDescend;Combinatorial[0];Sylvain Example;0;0;22;4074;NaN;0.000;NaN
