CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
JRip;Combinatorial[0];SAL;0;0;12;1012;NaN;0.000;NaN
PART;Combinatorial[0];SAL;0;0;12;1012;NaN;0.000;NaN
ZeroR;Combinatorial[0];SAL;0;0;12;1012;NaN;0.000;NaN
OneR;Combinatorial[0];SAL;0;0;12;1012;NaN;0.000;NaN
JRip;Combinatorial[0];Mobile Game;135;9;0;880;0.938;1.000;0.968
PART;Combinatorial[0];Mobile Game;135;0;0;889;1.000;1.000;1.000
ZeroR;Combinatorial[0];Mobile Game;0;0;135;889;NaN;0.000;NaN
OneR;Combinatorial[0];Mobile Game;0;0;135;889;NaN;0.000;NaN
JRip;Combinatorial[0];VODPlayer;16;16;32;960;0.500;0.333;0.400
PART;Combinatorial[0];VODPlayer;16;0;32;976;1.000;0.333;0.500
ZeroR;Combinatorial[0];VODPlayer;0;0;48;976;NaN;0.000;NaN
OneR;Combinatorial[0];VODPlayer;0;0;48;976;NaN;0.000;NaN
JRip;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
PART;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
ZeroR;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
OneR;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
JRip;Combinatorial[0];AvionFEatures;12;8;0;1004;0.600;1.000;0.750
PART;Combinatorial[0];AvionFEatures;10;4;2;1008;0.714;0.833;0.769
ZeroR;Combinatorial[0];AvionFEatures;0;0;12;1012;NaN;0.000;NaN
OneR;Combinatorial[0];AvionFEatures;0;0;12;1012;NaN;0.000;NaN
JRip;Combinatorial[0];Phone sple;27;5;0;992;0.844;1.000;0.915
PART;Combinatorial[0];Phone sple;27;5;0;992;0.844;1.000;0.915
ZeroR;Combinatorial[0];Phone sple;0;0;27;997;NaN;0.000;NaN
OneR;Combinatorial[0];Phone sple;0;0;27;997;NaN;0.000;NaN
JRip;Combinatorial[0];Phone;44;0;2;978;1.000;0.957;0.978
PART;Combinatorial[0];Phone;46;0;0;978;1.000;1.000;1.000
ZeroR;Combinatorial[0];Phone;0;0;46;978;NaN;0.000;NaN
OneR;Combinatorial[0];Phone;0;0;46;978;NaN;0.000;NaN
JRip;Combinatorial[0];Ökonomische Merkmale;24;5;0;995;0.828;1.000;0.906
PART;Combinatorial[0];Ökonomische Merkmale;24;6;0;994;0.800;1.000;0.889
ZeroR;Combinatorial[0];Ökonomische Merkmale;0;0;24;1000;NaN;0.000;NaN
OneR;Combinatorial[0];Ökonomische Merkmale;0;0;24;1000;NaN;0.000;NaN
JRip;Combinatorial[0];carpl;0;0;2;1022;NaN;0.000;NaN
PART;Combinatorial[0];carpl;2;0;0;1022;1.000;1.000;1.000
ZeroR;Combinatorial[0];carpl;0;0;2;1022;NaN;0.000;NaN
OneR;Combinatorial[0];carpl;0;0;2;1022;NaN;0.000;NaN
JRip;Combinatorial[0];MyFM;0;0;19;1005;NaN;0.000;NaN
PART;Combinatorial[0];MyFM;2;0;17;1005;1.000;0.105;0.190
ZeroR;Combinatorial[0];MyFM;0;0;19;1005;NaN;0.000;NaN
OneR;Combinatorial[0];MyFM;0;0;19;1005;NaN;0.000;NaN
JRip;Combinatorial[0];rtrt;20;0;0;1004;1.000;1.000;1.000
PART;Combinatorial[0];rtrt;20;0;0;1004;1.000;1.000;1.000
